                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1614,                 6.5728,                 4.3785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.095448,               0.000448,               0.000448
                      2,                 4.3915,                 4.6743,                 3.9802,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.089953,             0.00095311,             0.00095311
                      3,                 3.8192,                 3.9852,                 3.5848,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.084423,              0.0014228,              0.0014228
