                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5819,                 4.9195,                 4.4011,                0.00018,                0.02564,                0.00013,                  3e-05,                 3.7782,                 5.1848,                 4.1594,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 3.4707,                 4.6728,                 4.2995,                0.00057,                0.02564,                0.00032,                  6e-05,                 3.7782,                 5.1935,                   4.16,             0.00012286,             0.00012286,             0.00012286
                      3,                 3.5433,                 4.6111,                 4.2558,                0.00056,                0.02564,                0.00031,                  8e-05,                 3.7787,                 5.2004,                 4.1608,             9.6353e-05,             9.6353e-05,             9.6353e-05
